Tom Wilkinson: Restricted 3-Body Force problem
Initial values: x0=0.001000 y0=0.000000 vel_x0=2.210000 vel_y0=0.000000 m+=2.100000 m-=2.100000
x y t
0.266007 0.000000 0.117500
0.267182 0.000000 0.118000
0.268358 0.000000 0.118500
0.269535 0.000000 0.119000
0.270712 0.000000 0.119500
0.271890 0.000000 0.120000
0.273069 0.000000 0.120500
0.274249 0.000000 0.121000
0.275429 0.000000 0.121500
0.276609 0.000000 0.122000
0.277791 0.000000 0.122500
0.278973 0.000000 0.123000
0.280156 0.000000 0.123500
0.281339 0.000000 0.124000
0.282524 0.000000 0.124500
0.283708 0.000000 0.125000
0.284894 0.000000 0.125500
0.286080 0.000000 0.126000
0.287267 0.000000 0.126500
0.288455 0.000000 0.127000
0.289644 0.000000 0.127500
0.290833 0.000000 0.128000
0.292023 0.000000 0.128500
0.293213 0.000000 0.129000
0.294405 0.000000 0.129500
0.295597 0.000000 0.130000
0.296790 0.000000 0.130500
0.297984 0.000000 0.131000
0.299178 0.000000 0.131500
0.300373 0.000000 0.132000
0.301569 0.000000 0.132500
0.302766 0.000000 0.133000
0.303963 0.000000 0.133500
0.305161 0.000000 0.134000
0.306360 0.000000 0.134500
0.307560 0.000000 0.135000
0.308761 0.000000 0.135500
0.309962 0.000000 0.136000
0.311164 0.000000 0.136500
0.312367 0.000000 0.137000
0.313571 0.000000 0.137500
0.314776 0.000000 0.138000
0.315981 0.000000 0.138500
0.317187 0.000000 0.139000
0.318394 0.000000 0.139500
0.319602 0.000000 0.140000
0.320811 0.000000 0.140500
0.322020 0.000000 0.141000
0.323231 0.000000 0.141500
0.324442 0.000000 0.142000
0.325654 0.000000 0.142500
0.326867 0.000000 0.143000
0.328081 0.000000 0.143500
0.329295 0.000000 0.144000
0.330511 0.000000 0.144500
0.331727 0.000000 0.145000
0.332944 0.000000 0.145500
0.334163 0.000000 0.146000
0.335382 0.000000 0.146500
0.336602 0.000000 0.147000
0.337822 0.000000 0.147500
0.339044 0.000000 0.148000
0.340267 0.000000 0.148500
0.341490 0.000000 0.149000
